item_id,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0001,3.5,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0002,3.0,5,Fabrication,B_REASONING,B2_logical,
EQ_0003,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0004,1.5,3,Moderate,E_AMPLIFICATION,E2_scope_expansion,
EQ_0005,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0006,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0007,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,Severity depends on clinical context
EQ_0008,0.0,0,Correct,,,
EQ_0009,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0010,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0011,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0012,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0013,0.5,1,Minor,B_REASONING,B3_analogical,
EQ_0014,1.0,2,Minor,A_RETRIEVAL,A2_spatial,Would rate higher if patient-facing
EQ_0015,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0016,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0017,1.5,3,Moderate,B_REASONING,B2_logical,
EQ_0018,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0019,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0020,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0021,2.0,4,Moderate,E_AMPLIFICATION,E2_scope_expansion,Would rate higher if patient-facing
EQ_0022,0.0,0,Correct,,,
EQ_0023,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0024,2.0,4,Moderate,B_REASONING,B2_logical,
EQ_0025,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,Clinical impact uncertain
EQ_0026,4.0,6,Dangerous,B_REASONING,B2_logical,
EQ_0027,0.0,0,Correct,,,
EQ_0028,0.0,0,Correct,,,
EQ_0029,2.0,4,Moderate,A_RETRIEVAL,A2_spatial,Clinical impact uncertain
EQ_0030,2.5,4,Fabrication,B_REASONING,B3_analogical,
