item_id,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0001,4.0,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0002,2.5,4,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0003,0.0,0,Correct,,,
EQ_0004,1.0,2,Minor,B_REASONING,B3_analogical,
EQ_0005,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,Model hedges appropriately
EQ_0006,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0007,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0008,0.0,0,Correct,,,
EQ_0009,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0010,2.0,4,Moderate,C_GENERATION,C1_entity_fabrication,
EQ_0011,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,Framing is misleading but facts nearly right
EQ_0012,3.0,5,Fabrication,A_RETRIEVAL,A1_temporal,
EQ_0013,0.0,0,Correct,,,
EQ_0014,0.0,0,Correct,,,
EQ_0015,2.5,4,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0016,0.0,0,Correct,,,
EQ_0017,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0018,0.5,1,Minor,C_GENERATION,C1_entity_fabrication,
EQ_0019,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0020,0.0,0,Correct,,,
EQ_0021,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0022,0.0,0,Correct,,,
EQ_0023,3.5,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0024,2.5,4,Fabrication,B_REASONING,B3_analogical,
EQ_0025,3.0,5,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,Borderline case
EQ_0026,2.0,4,Moderate,A_RETRIEVAL,A3_entity,Framing is misleading but facts nearly right
EQ_0027,1.5,3,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0028,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0029,1.5,3,Moderate,C_GENERATION,C1_entity_fabrication,
EQ_0030,2.0,4,Moderate,C_GENERATION,C1_entity_fabrication,
EQ_0031,0.0,0,Correct,,,
EQ_0032,0.0,0,Correct,,,
EQ_0033,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0034,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0035,2.0,4,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0036,0.0,0,Correct,,,
EQ_0037,0.0,0,Correct,,,
EQ_0038,1.5,3,Moderate,D_METACOGNITIVE,D1_overconfidence,
EQ_0039,3.5,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0040,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,GT seems incomplete
EQ_0041,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0042,0.5,1,Minor,B_REASONING,B1_causal,
EQ_0043,2.0,4,Moderate,C_GENERATION,C2_source_fabrication,
EQ_0044,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0045,2.5,4,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0046,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0047,3.5,6,Dangerous,F_FORMAT,F1_ambiguous_structure,
EQ_0048,2.0,4,Moderate,C_GENERATION,C2_source_fabrication,
EQ_0049,0.0,0,Correct,,,
